industry_id,zip_code,value
"Mining, quarrying, & oil and gas extraction ",60627,0
"Mining, quarrying, & oil and gas extraction ",60628,0
"Mining, quarrying, & oil and gas extraction ",60629,0
"Mining, quarrying, & oil and gas extraction ",60630,0
"Mining, quarrying, & oil and gas extraction ",60631,0
"Mining, quarrying, & oil and gas extraction ",60632,0
"Mining, quarrying, & oil and gas extraction ",60633,0
"Mining, quarrying, & oil and gas extraction ",60634,0
"Mining, quarrying, & oil and gas extraction ",60635,0
"Mining, quarrying, & oil and gas extraction ",60636,0
"Mining, quarrying, & oil and gas extraction ",60637,0
"Mining, quarrying, & oil and gas extraction ",60638,0
"Mining, quarrying, & oil and gas extraction ",60639,0
"Mining, quarrying, & oil and gas extraction ",60640,0
"Mining, quarrying, & oil and gas extraction ",60641,0
"Mining, quarrying, & oil and gas extraction ",60643,0
"Mining, quarrying, & oil and gas extraction ",60644,0
"Mining, quarrying, & oil and gas extraction ",60645,0
"Mining, quarrying, & oil and gas extraction ",60646,0
"Mining, quarrying, & oil and gas extraction ",60647,0
"Mining, quarrying, & oil and gas extraction ",60649,0
"Mining, quarrying, & oil and gas extraction ",60651,0
"Mining, quarrying, & oil and gas extraction ",60652,0
"Mining, quarrying, & oil and gas extraction ",60653,0
"Mining, quarrying, & oil and gas extraction ",60655,0
"Mining, quarrying, & oil and gas extraction ",60656,0
"Mining, quarrying, & oil and gas extraction ",60657,0
"Mining, quarrying, & oil and gas extraction ",60659,0
"Mining, quarrying, & oil and gas extraction ",60660,0
"Mining, quarrying, & oil and gas extraction ",60661,0
"Mining, quarrying, & oil and gas extraction ",60666,0
Utilities,60601,0
Utilities,60602,0
Utilities,60603,0
Utilities,60604,0
Utilities,60606,545
Utilities,60607,0
Utilities,60608,0
Utilities,60609,0
Utilities,60610,0
Utilities,60611,0
Utilities,60612,0
Utilities,60613,0
Utilities,60614,0
Utilities,60615,0
Utilities,60616,0
Utilities,60617,0
Utilities,60618,0
Utilities,60619,0
Utilities,60620,0
Utilities,60621,0
Utilities,60622,0
Utilities,60623,0
Utilities,60624,0
Utilities,60625,0
Utilities,60626,0
Utilities,60627,0
Utilities,60628,0
Utilities,60629,0
Utilities,60630,0
Utilities,60631,0
Utilities,60632,0
Utilities,60633,0
Utilities,60634,0
Utilities,60635,0
Utilities,60636,0
Utilities,60637,0
Utilities,60638,0
Utilities,60639,0
Utilities,60640,0
Utilities,60641,0
Utilities,60643,0
Utilities,60644,0
Utilities,60645,0
Utilities,60646,0
Utilities,60647,0
Utilities,60649,0
Utilities,60651,0
Utilities,60652,0
Utilities,60653,0
Utilities,60655,0
Utilities,60656,0
Utilities,60657,0
Utilities,60659,0
Utilities,60660,0
Utilities,60661,29
Utilities,60666,0
Construction,60601,543
Construction,60602,112
Construction,60603,321
Construction,60604,145
Construction,60606,"1,508"
Construction,60607,"2,318"
Construction,60608,633
Construction,60609,503
Construction,60610,657
Construction,60611,191
Construction,60612,719
Construction,60613,241
Construction,60614,962
Construction,60615,105
Construction,60616,917
Construction,60617,464
Construction,60618,"1,186"
Construction,60619,236
Construction,60620,170
Construction,60621,43
Construction,60622,"1,188"
Construction,60623,383
Construction,60624,0
Construction,60625,206
Construction,60626,51
Construction,60627,0
Construction,60628,113
Construction,60629,161
Construction,60630,740
Construction,60631,635
Construction,60632,510
Construction,60633,0
Construction,60634,587
Construction,60635,0
Construction,60636,89
Construction,60637,37
Construction,60638,388
Construction,60639,507
Construction,60640,70
Construction,60641,535
Construction,60643,0
Construction,60644,0
Construction,60645,44
Construction,60646,388
Construction,60647,534
Construction,60649,234
Construction,60651,354
Construction,60652,202
Construction,60653,98
Construction,60655,109
Construction,60656,363
Construction,60657,169
Construction,60659,93
Construction,60660,95
Construction,60661,290
Construction,60666,0
"Food, beverage & tobacco manufacturing",60601,0
"Food, beverage & tobacco manufacturing",60602,0
"Food, beverage & tobacco manufacturing",60603,0
"Food, beverage & tobacco manufacturing",60604,0
"Food, beverage & tobacco manufacturing",60606,0
"Food, beverage & tobacco manufacturing",60607,"1,352"
"Food, beverage & tobacco manufacturing",60608,"1,473"
"Food, beverage & tobacco manufacturing",60609,"2,685"
"Food, beverage & tobacco manufacturing",60610,732
"Food, beverage & tobacco manufacturing",60611,187
"Food, beverage & tobacco manufacturing",60612,756
"Food, beverage & tobacco manufacturing",60613,74
"Food, beverage & tobacco manufacturing",60614,87
"Food, beverage & tobacco manufacturing",60615,64
"Food, beverage & tobacco manufacturing",60616,224
"Food, beverage & tobacco manufacturing",60617,84
"Food, beverage & tobacco manufacturing",60618,992
"Food, beverage & tobacco manufacturing",60619,0
"Food, beverage & tobacco manufacturing",60620,0
"Food, beverage & tobacco manufacturing",60621,0
"Food, beverage & tobacco manufacturing",60622,279
"Food, beverage & tobacco manufacturing",60623,843
"Food, beverage & tobacco manufacturing",60624,195
"Food, beverage & tobacco manufacturing",60625,26
"Food, beverage & tobacco manufacturing",60626,87
"Food, beverage & tobacco manufacturing",60627,0
"Food, beverage & tobacco manufacturing",60628,41
"Food, beverage & tobacco manufacturing",60629,0
"Food, beverage & tobacco manufacturing",60630,163
"Food, beverage & tobacco manufacturing",60631,84
"Food, beverage & tobacco manufacturing",60632,"1,597"
"Food, beverage & tobacco manufacturing",60633,0
"Food, beverage & tobacco manufacturing",60634,0
"Food, beverage & tobacco manufacturing",60635,405
"Food, beverage & tobacco manufacturing",60636,0
"Food, beverage & tobacco manufacturing",60637,0
"Food, beverage & tobacco manufacturing",60638,835
"Food, beverage & tobacco manufacturing",60639,"1,635"
"Food, beverage & tobacco manufacturing",60640,173
"Food, beverage & tobacco manufacturing",60641,86
"Food, beverage & tobacco manufacturing",60643,0
"Food, beverage & tobacco manufacturing",60644,0
"Food, beverage & tobacco manufacturing",60645,57
"Food, beverage & tobacco manufacturing",60646,0
"Food, beverage & tobacco manufacturing",60647,396
"Food, beverage & tobacco manufacturing",60649,0
"Food, beverage & tobacco manufacturing",60651,0
"Food, beverage & tobacco manufacturing",60652,0
"Food, beverage & tobacco manufacturing",60653,0
"Food, beverage & tobacco manufacturing",60655,0
"Food, beverage & tobacco manufacturing",60656,0
"Food, beverage & tobacco manufacturing",60657,120
"Food, beverage & tobacco manufacturing",60659,38
"Food, beverage & tobacco manufacturing",60660,18
"Food, beverage & tobacco manufacturing",60661,0
"Food, beverage & tobacco manufacturing",60666,0
Other manufacturing,60601,0
Other manufacturing,60602,143
Other manufacturing,60603,356
Other manufacturing,60604,0
Other manufacturing,60606,"1,313"
Other manufacturing,60607,"1,389"
Other manufacturing,60608,"1,427"
Other manufacturing,60609,"3,375"
Other manufacturing,60610,"1,216"
Other manufacturing,60611,245
Other manufacturing,60612,"1,208"
Other manufacturing,60613,288
Other manufacturing,60614,756
Other manufacturing,60615,43
Other manufacturing,60616,487
Other manufacturing,60617,347
Other manufacturing,60618,"1,439"
Other manufacturing,60619,211
Other manufacturing,60620,273
Other manufacturing,60621,0
Other manufacturing,60622,754
Other manufacturing,60623,"2,058"
Other manufacturing,60624,844
Other manufacturing,60625,205
Other manufacturing,60626,-87
Other manufacturing,60627,0
Other manufacturing,60628,686
Other manufacturing,60629,697
Other manufacturing,60630,"1,279"
Other manufacturing,60631,584
Other manufacturing,60632,"3,354"
Other manufacturing,60633,"5,922"
Other manufacturing,60634,520
Other manufacturing,60635,-405
Other manufacturing,60636,205
Other manufacturing,60637,0
Other manufacturing,60638,"2,304"
Other manufacturing,60639,"2,167"
Other manufacturing,60640,713
Other manufacturing,60641,842
Other manufacturing,60643,301
Other manufacturing,60644,749
Other manufacturing,60645,17
Other manufacturing,60646,652
Other manufacturing,60647,577
Other manufacturing,60649,0
Other manufacturing,60651,"2,090"
Other manufacturing,60652,"1,659"
Other manufacturing,60653,0
Other manufacturing,60655,0
Other manufacturing,60656,53
Other manufacturing,60657,215
Other manufacturing,60659,86
Other manufacturing,60660,-18
Other manufacturing,60661,708
Other manufacturing,60666,0
Wholesale trade ,60601,900
Wholesale trade ,60602,555
Wholesale trade ,60603,808
Wholesale trade ,60604,350
Wholesale trade ,60606,"3,490"
Wholesale trade ,60607,"2,278"
Wholesale trade ,60608,"3,091"
Wholesale trade ,60609,"3,014"
Wholesale trade ,60610,"3,314"
Wholesale trade ,60611,778
Wholesale trade ,60612,"1,087"
Wholesale trade ,60613,142
Wholesale trade ,60614,786
Wholesale trade ,60615,0
Wholesale trade ,60616,789
Wholesale trade ,60617,408
Wholesale trade ,60618,744
Wholesale trade ,60619,145
Wholesale trade ,60620,192
Wholesale trade ,60621,49
Wholesale trade ,60622,"1,248"
Wholesale trade ,60623,459
Wholesale trade ,60624,712
Wholesale trade ,60625,194
Wholesale trade ,60626,69
Wholesale trade ,60627,0
Wholesale trade ,60628,454
Wholesale trade ,60629,87
Wholesale trade ,60630,401
Wholesale trade ,60631,"1,309"
Wholesale trade ,60632,"1,713"
Wholesale trade ,60633,365
Wholesale trade ,60634,253
Wholesale trade ,60635,0
Wholesale trade ,60636,69
Wholesale trade ,60637,0
Wholesale trade ,60638,935
Wholesale trade ,60639,635
Wholesale trade ,60640,239
Wholesale trade ,60641,"1,577"
Wholesale trade ,60643,243
Wholesale trade ,60644,244
Wholesale trade ,60645,29
Wholesale trade ,60646,742
Wholesale trade ,60647,462
Wholesale trade ,60649,11
Wholesale trade ,60651,727
Wholesale trade ,60652,128
Wholesale trade ,60653,0
Wholesale trade ,60655,25
Wholesale trade ,60656,0
Wholesale trade ,60657,162
Wholesale trade ,60659,109
Wholesale trade ,60660,212
Wholesale trade ,60661,"1,445"
Wholesale trade ,60666,0
Retail trade ,60601,"1,111"
Retail trade ,60602,"2,070"
Retail trade ,60603,"2,458"
Retail trade ,60604,316
Retail trade ,60606,780
Retail trade ,60607,"2,689"
Retail trade ,60608,"2,197"
Retail trade ,60609,"1,356"
Retail trade ,60610,"5,676"
Retail trade ,60611,"11,489"
Retail trade ,60612,749
Retail trade ,60613,908
Retail trade ,60614,"5,873"
Retail trade ,60615,"1,047"
Retail trade ,60616,"1,415"
Retail trade ,60617,926
Retail trade ,60618,"3,185"
Retail trade ,60619,"1,096"
Retail trade ,60620,"2,199"
Retail trade ,60621,295
Retail trade ,60622,"2,880"
Retail trade ,60623,928
Retail trade ,60624,424
Retail trade ,60625,811
Retail trade ,60626,796
Retail trade ,60627,0
Retail trade ,60628,619
Retail trade ,60629,862
Retail trade ,60630,"1,439"
Retail trade ,60631,252
Retail trade ,60632,"2,223"
Retail trade ,60633,0
Retail trade ,60634,"1,458"
Retail trade ,60635,779
Retail trade ,60636,"1,572"
Retail trade ,60637,602
Retail trade ,60638,"1,415"
Retail trade ,60639,"3,620"
Retail trade ,60640,"1,903"
Retail trade ,60641,"2,129"
Retail trade ,60643,"1,128"
Retail trade ,60644,586
Retail trade ,60645,467
Retail trade ,60646,631
Retail trade ,60647,"3,271"
Retail trade ,60649,552
Retail trade ,60651,533
Retail trade ,60652,"1,293"
Retail trade ,60653,492
Retail trade ,60655,444
Retail trade ,60656,477
Retail trade ,60657,"3,217"
Retail trade ,60659,"1,291"
Retail trade ,60660,630
Retail trade ,60661,"1,054"
Retail trade ,60666,391
Transportation & warehousing ,60601,308
Transportation & warehousing ,60602,69
Transportation & warehousing ,60603,48
Transportation & warehousing ,60604,210
Transportation & warehousing ,60606,"1,524"
Transportation & warehousing ,60607,"8,884"
Transportation & warehousing ,60608,"2,132"
Transportation & warehousing ,60609,"1,092"
Transportation & warehousing ,60610,332
Transportation & warehousing ,60611,891
Transportation & warehousing ,60612,167
Transportation & warehousing ,60613,59
Transportation & warehousing ,60614,120
Transportation & warehousing ,60615,14
Transportation & warehousing ,60616,153
Transportation & warehousing ,60617,634
Transportation & warehousing ,60618,292
