zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60626,11,03/08/2020,03/14/2020,,,5,6,0,0
60613,18,04/26/2020,05/02/2020,37.0,241.0,270,1071,1,12
60628,13,03/22/2020,03/28/2020,78.0,94.0,223,341,1,1
60661,14,03/29/2020,04/04/2020,7.0,15.0,14,66,0,0
60642,17,04/19/2020,04/25/2020,24.0,62.0,105,364,0,1
60629,17,04/19/2020,04/25/2020,390.0,920.0,902,2155,7,23
60641,13,03/22/2020,03/28/2020,19.0,26.0,134,203,0,0
60639,13,03/22/2020,03/28/2020,36.0,42.0,146,216,0,1
60603,13,03/22/2020,03/28/2020,,,3,4,0,0
60615,13,03/22/2020,03/28/2020,24.0,44.0,110,261,1,1
60623,19,05/03/2020,05/09/2020,564.0,2093.0,1250,4649,16,68
60613,13,03/22/2020,03/28/2020,28.0,44.0,121,219,0,0
60602,18,04/26/2020,05/02/2020,0.0,5.0,5,42,0,0
60604,17,04/19/2020,04/25/2020,2.0,6.0,10,25,0,0
60638,19,05/03/2020,05/09/2020,174.0,728.0,569,2580,3,20
60617,13,03/22/2020,03/28/2020,67.0,82.0,214,350,3,3
60616,17,04/19/2020,04/25/2020,26.0,219.0,210,920,8,26
60601,18,04/26/2020,05/02/2020,13.0,55.0,65,268,0,3
60640,14,03/29/2020,04/04/2020,46.0,86.0,163,395,2,4
60624,19,05/03/2020,05/09/2020,90.0,572.0,368,1891,3,21
60634,20,05/10/2020,05/16/2020,155.0,1053.0,738,4676,5,31
60659,19,05/03/2020,05/09/2020,82.0,492.0,280,1520,5,26
60655,13,03/22/2020,03/28/2020,19.0,20.0,139,174,0,0
60628,18,04/26/2020,05/02/2020,151.0,664.0,514,2246,12,52
60619,11,03/08/2020,03/14/2020,,,13,13,0,0
60630,17,04/19/2020,04/25/2020,110.0,291.0,323,1251,4,14
60609,18,04/26/2020,05/02/2020,271.0,795.0,707,2067,6,24
