zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60651,12,03/15/2020,03/21/2020,6.0,6.0,58,66,0,0
60656,16,04/12/2020,04/18/2020,28.0,92.0,112,600,2,4
60629,19,05/03/2020,05/09/2020,517.0,1947.0,1392,4876,8,38
60614,12,03/15/2020,03/21/2020,18.0,24.0,125,160,1,1
60660,20,05/10/2020,05/16/2020,27.0,310.0,224,1338,5,34
60638,17,04/19/2020,04/25/2020,142.0,369.0,482,1429,1,7
60617,11,03/08/2020,03/14/2020,,,10,11,0,0
60637,13,03/22/2020,03/28/2020,28.0,47.0,151,303,0,0
60604,19,05/03/2020,05/09/2020,4.0,13.0,11,50,0,0
60633,14,03/29/2020,04/04/2020,4.0,6.0,27,52,0,0
60615,14,03/29/2020,04/04/2020,44.0,88.0,160,421,3,4
60657,20,05/10/2020,05/16/2020,21.0,268.0,386,1938,2,19
60612,19,05/03/2020,05/09/2020,82.0,486.0,360,1927,3,16
60660,15,04/05/2020,04/11/2020,52.0,105.0,127,371,1,2
60640,12,03/15/2020,03/21/2020,12.0,15.0,96,115,0,0
60647,14,03/29/2020,04/04/2020,34.0,72.0,178,477,1,1
60609,20,05/10/2020,05/16/2020,226.0,1271.0,792,3452,11,41
60630,19,05/03/2020,05/09/2020,94.0,487.0,412,2038,6,24
60644,19,05/03/2020,05/09/2020,131.0,808.0,669,2799,4,47
60623,13,03/22/2020,03/28/2020,40.0,49.0,146,226,3,3
60646,14,03/29/2020,04/04/2020,14.0,36.0,122,279,0,2
60611,13,03/22/2020,03/28/2020,24.0,37.0,123,221,0,0
60620,15,04/05/2020,04/11/2020,139.0,380.0,277,909,16,32
60631,19,05/03/2020,05/09/2020,39.0,182.0,242,1344,3,5
60607,10,03/01/2020,03/07/2020,,,0,0,0,0
60654,14,03/29/2020,04/04/2020,14.0,38.0,38,151,0,0
60617,16,04/12/2020,04/18/2020,68.0,356.0,347,1219,5,21
60652,19,05/03/2020,05/09/2020,146.0,578.0,405,1918,0,12
60645,13,03/22/2020,03/28/2020,103.0,122.0,260,341,1,1
60707,14,03/29/2020,04/04/2020,10.0,22.0,51,115,0,1
