city,transportation_type,date,value
Chicago,transit,2020-02-13,110.52
Chicago,transit,2020-02-14,126.91
Chicago,transit,2020-02-15,116.21
Chicago,transit,2020-02-16,97.71
Chicago,transit,2020-02-17,102.23
Chicago,transit,2020-02-18,104.2
Chicago,transit,2020-02-19,104.22
Chicago,transit,2020-02-20,106.83
Chicago,transit,2020-02-21,127.11
Chicago,transit,2020-02-22,119.65
Chicago,transit,2020-02-23,92.28
Chicago,transit,2020-02-24,95.35
Chicago,transit,2020-02-25,96.83
Chicago,transit,2020-02-26,98.87
Chicago,transit,2020-02-27,107.54
Chicago,transit,2020-02-28,125.54
Chicago,transit,2020-02-29,119.67
Chicago,transit,2020-03-01,90.08
Chicago,transit,2020-03-02,100.09
Chicago,transit,2020-03-03,101.8
Chicago,transit,2020-03-04,103.07
Chicago,transit,2020-03-05,107.55
Chicago,transit,2020-03-06,121.35
Chicago,transit,2020-03-07,120.36
Chicago,transit,2020-03-08,92.86
Chicago,transit,2020-03-09,99.12
Chicago,transit,2020-03-10,102.0
Chicago,transit,2020-03-11,97.18
Chicago,transit,2020-03-12,90.19
Chicago,transit,2020-03-13,92.55
Chicago,transit,2020-03-14,71.48
Chicago,transit,2020-03-15,51.63
Chicago,transit,2020-03-16,48.56
Chicago,transit,2020-03-17,41.09
Chicago,transit,2020-03-18,33.64
Chicago,transit,2020-03-19,31.04
Chicago,transit,2020-03-20,29.79
Chicago,transit,2020-03-21,23.26
Chicago,transit,2020-03-22,19.23
Chicago,transit,2020-03-23,23.17
Chicago,transit,2020-03-24,23.53
Chicago,transit,2020-03-25,24.42
Chicago,transit,2020-03-26,22.26
Chicago,transit,2020-03-27,23.87
Chicago,transit,2020-03-28,21.64
Chicago,transit,2020-03-29,20.57
Chicago,transit,2020-03-30,22.72
Chicago,transit,2020-03-31,22.37
Chicago,transit,2020-04-01,21.76
Chicago,transit,2020-04-02,22.58
Chicago,transit,2020-04-03,23.05
Chicago,transit,2020-04-04,20.35
Chicago,transit,2020-04-05,19.46
Chicago,transit,2020-04-06,21.63
Chicago,transit,2020-04-07,23.4
Chicago,transit,2020-04-08,22.1
Chicago,transit,2020-04-09,21.57
Chicago,transit,2020-04-10,22.89
Chicago,transit,2020-04-11,21.0
Chicago,transit,2020-04-12,18.1
Chicago,transit,2020-04-13,22.65
Chicago,transit,2020-04-14,22.24
Chicago,transit,2020-04-15,21.46
Chicago,transit,2020-04-16,22.3
Chicago,transit,2020-04-17,21.91
Chicago,transit,2020-04-18,22.47
Chicago,transit,2020-04-19,21.57
Chicago,transit,2020-04-20,24.87
Chicago,transit,2020-04-21,23.54
Chicago,transit,2020-04-22,23.36
Chicago,transit,2020-04-23,23.31
Chicago,transit,2020-04-24,22.93
Chicago,transit,2020-04-25,21.12
Chicago,transit,2020-04-26,21.61
Chicago,transit,2020-04-27,23.38
Chicago,transit,2020-04-28,23.51
Chicago,transit,2020-04-29,22.92
Chicago,transit,2020-04-30,24.02
Chicago,transit,2020-05-01,25.48
