stop_id,object_id,route,address,longitude,latitude,zip_code
2952,3246,115,115th Street & Michigan,-87.62091766,41.68525451,60628
12095,3247,100,95th Street & Jeffery,-87.57498252,41.72240054,60617
14,3248,126,Jackson & Cicero,-87.74483066,41.87676314,60644
596,3249,"120,121",Fairbanks & Chicago,-87.620311,41.896645,60611
746,3250,65,Illinois & LaSalle,-87.632811,41.890737,60654
716,3251,65,Grand & California,-87.69672299999999,41.894255,60612
6754,3252,18,16th Street & Western,-87.6859588,41.859302299999996,60608
5117,3253,21,Cermak & Clark,-87.62997378,41.85274421,60616
722,3254,65,Grand & Oakley,-87.68437029,41.89062906,60612
69,3255,"1,7,28,126,130,132,151",Jackson & Financial Place,-87.632868,41.878081,60604
3430,3256,63,63rd Street & Wentworth,-87.629887,41.779907,60621
15034,3257,"8A,108",Halsted & 115th Street,-87.64202703,41.68523466,60628
6623,3258,157,Clinton & Taylor,-87.640896,41.869871999999994,60607
11890,3259,93,California & Foster,-87.69901516,41.97595012,60625
15008,3260,8,Halsted & Madison,-87.647458,41.88158549,60607
3842,3261,57,Laramie & Maypole,-87.755275,41.884398,60644
8283,3262,"49,X49",Western & 55th Street/Garfield,-87.68417629999999,41.79399659,60609
2551,3263,4,Cottage Grove & 49th Street,-87.60659236,41.80563201,60615
10203,3264,54,Cicero & Irving Park/Milwaukee,-87.74740611,41.95363141,60641
7298,3265,30,Avenue O & 131st Street,-87.54000569,41.65764509,60633
7332,3266,30,Avenue O & 132nd Street,-87.53980686,41.65556752,60633
4143,3267,94,California & Lithuanian Plaza/69th Street,-87.69304693,41.76806942,60629
11196,3268,82,Central Park & 23rd Street,-87.715012,41.849918,60623
7791,3269,39,Pershing & California,-87.69445196,41.82285782,60632
12177,3270,103,103rd Street & Morgan,-87.64759029,41.70693589,60643
7759,3271,39,Pershing & Wentworth,-87.63159924,41.8237461,60609
9195,3272,51,51st Street & Princeton,-87.63308973,41.80187259,60609
10589,3273,"55,59",Garfield Red Line Station,-87.63109954,41.79458546,60609
1762,3274,"36,151,155",Devon & Clark,-87.67037124,41.99814792,60660
12366,3275,112,111th Street & Bell,-87.67731872,41.69191127,60643
11321,3276,78,Montrose & Milwaukee,-87.754625,41.960564,60641
14776,3277,70,Division & Damen,-87.67696638,41.90311162,60622
15560,3278,65,Grand & Division,-87.71743578,41.90251986,60651
548,3279,66,Chicago & Western,-87.68701853,41.89566223,60622
394,3280,20,Madison & Lotus,-87.76191891,41.88020276,60644
9154,3281,51,51st Street & Kedzie,-87.70354178,41.80075731,60632
4071,3282,73,Cortland & Elston,-87.66647699,41.91635141,60642
14634,3283,77,Belmont & Cicero,-87.74656534,41.93876457,60641
15498,3284,87,87th Street & Western,-87.6818665,41.7354232,60643
6697,3285,157,Taylor & Racine,-87.65692967,41.86934884,60607
15334,3286,65,Grand & Melvina,-87.78025829,41.92135336,60639
34,3287,126,Jackson & California,-87.69595515,41.87737082,60612
11000,3288,76,Diversey & Hamlin,-87.72218876,41.93178365,60647
7729,3289,39,Pershing & Wabash,-87.62498428,41.82366311,60653
12518,3290,152,Addison & Elston,-87.708933,41.946558,60618
15145,3291,9,Ashland & 53rd Street,-87.66480655,41.79748379,60609
2833,3292,"4,115",Cottage Grove & 107th Street,-87.60823,41.700324,60628
14823,3293,"49,X49",Western & Marquette Rd,-87.68356816,41.7717908,60636
6063,3294,9,Ashland & Archer,-87.66589752,41.83778428,60608
4145,3295,94,California & Marquette Rd,-87.69310378,41.77170677,60629
5341,3296,36,Broadway & Berwyn,-87.66003549999999,41.97822854,60640
8824,3297,50,Damen & Berteau,-87.678928,41.957882,60618
6084,3298,"9,X9",Ashland & 51st Street,-87.66492262,41.80144205,60609
6109,3299,"9,X9",Ashland & 74th Street,-87.66376317,41.75919106,60636
8766,3300,48,Damen & 48th Street,-87.674693,41.806810999999996,60609
5952,3301,8,Halsted & Willow,-87.648298,41.913731,60614
1177,3302,151,Sheridan & Wilson,-87.65471,41.965340999999995,60640
14495,3303,8,Halsted & 69th Street,-87.64442215,41.76902771,60621
987,3304,72,North Ave & Austin,-87.77509251,41.90936486,60639
6461,3305,"24,59",5556 S Wentworth,-87.630423,41.79244,60621
17476,3306,81,Lawrence & Kostner,-87.73769488,41.96806917,60630
11320,3307,78,Montrose & Laramie,-87.757488,41.960538,60641
16173,3308,"53,152",Addison & Kimball,-87.71293579,41.94663193,60618
4811,3309,92,Foster & Lincoln,-87.69263147,41.97593319,60625
4675,3310,63W,63rd Street & Narragansett,-87.78145500000001,41.77774244,60638
7415,3311,35,35th Street & Western Avenue,-87.685325,41.830326,60608
11040,3312,76,Diversey & Clark/Broadway,-87.64532045,41.93284886,60614
12376,3313,112,111th Street & Kedzie,-87.70068136,41.69163846,60655
2847,3314,115,115th Street & State,-87.62267226,41.6853919,60628
6540,3315,24,6800 S Wentworth,-87.62997299999999,41.770817,60621
14613,3316,22,Clark & Ainslie,-87.66788374,41.97165409,60640
