Zip,Tested,Positive Cases,Deaths
60631,1879,231,N/A
60632,5908,2332,N/A
60633,1448,225,N/A
60634,5409,1092,N/A
60636,2013,567,N/A
60637,3401,507,N/A
60638,3869,892,N/A
60639,6781,2458,N/A
60640,3374,654,N/A
60641,4005,1059,N/A
60642,904,124,N/A
60643,3574,610,N/A
60644,3920,938,N/A
60645,3434,894,N/A
60646,1728,300,N/A
60647,4120,1006,N/A
60649,3440,632,N/A
60651,4254,1268,N/A
60652,2666,685,N/A
60653,2463,432,N/A
60654,782,122,N/A
60655,1788,221,N/A
60656,1495,208,N/A
60657,2483,281,N/A
60659,2042,577,N/A
60660,1535,316,N/A
60661,365,36,N/A
60706,1644,274,N/A
60707,2924,631,N/A
60712,687,138,N/A
60714,2086,611,N/A
60803,1039,198,N/A
60804,6483,2206,N/A
60805,897,188,N/A
60827,1539,280,N/A
60901,2099,389,N/A
60911,51,9,N/A
60912,27,6,N/A
60914,1047,111,N/A
60915,469,40,N/A
60919,20,6,N/A
60922,101,11,N/A
60927,132,43,N/A
60928,16,7,N/A
60930,10,6,N/A
60940,99,6,N/A
60950,619,59,N/A
60954,324,22,N/A
60955,52,11,N/A
60957,140,7,N/A
60958,89,18,N/A
60964,160,25,N/A
60970,192,11,N/A
61008,1250,267,N/A
61010,157,7,N/A
61012,49,12,N/A
61016,209,24,N/A
61021,770,63,N/A
61032,916,141,N/A
61054,119,7,N/A
61061,153,8,N/A
61064,71,9,N/A
61065,264,26,N/A
61068,908,119,N/A
61071,216,27,N/A
61072,278,23,N/A
61073,496,40,N/A
61080,245,29,N/A
61081,358,59,N/A
61084,46,7,N/A
61088,152,7,N/A
61101,1259,183,N/A
61102,1045,158,N/A
61103,1388,170,N/A
61104,950,177,N/A
61107,1406,129,N/A
61108,1349,222,N/A
61109,1158,169,N/A
61111,849,65,N/A
61114,606,69,N/A
61115,725,69,N/A
61201,951,167,N/A
61235,59,8,N/A
61239,35,8,N/A
61240,125,9,N/A
61241,175,15,N/A
61244,732,149,N/A
61252,104,21,N/A
61254,277,8,N/A
61256,51,6,N/A
61264,265,21,N/A
61265,1219,181,N/A
61270,122,7,N/A
61275,82,10,N/A
61282,260,36,N/A
61341,273,31,N/A
61342,141,15,N/A
61350,398,17,N/A
61356,213,6,N/A
61401,1078,77,N/A
61410,67,6,N/A
61443,292,17,N/A
61455,533,59,N/A
61462,492,100,N/A
61469,73,7,N/A
61525,213,6,N/A
61548,242,7,N/A
61554,1192,20,N/A
61603,769,26,N/A
61604,1169,27,N/A
61605,601,18,N/A
61610,137,6,N/A
61611,677,18,N/A
61614,929,45,N/A
61615,742,21,N/A
61701,1323,42,N/A
61704,1087,68,N/A
61705,416,12,N/A
61761,1238,44,N/A
61764,275,12,N/A
61801,731,27,N/A
61802,931,57,N/A
61820,866,75,N/A
61821,1230,76,N/A
61822,872,35,N/A
61832,756,18,N/A
61853,490,12,N/A
61866,1062,116,N/A
61874,286,13,N/A
61910,181,6,N/A
61920,714,56,N/A
61938,690,22,N/A
61953,196,13,N/A
62002,489,84,N/A
62010,114,13,N/A
62012,70,6,N/A
62018,56,7,N/A
62024,97,8,N/A
62025,554,108,N/A
62034,215,56,N/A
62035,180,19,N/A
62040,526,70,N/A
62052,96,13,N/A
62056,303,14,N/A
62060,75,20,N/A
62062,177,7,N/A
62069,82,8,N/A
62088,307,7,N/A
62090,21,10,N/A
62095,132,18,N/A
62201,90,13,N/A
62203,173,29,N/A
62204,169,35,N/A
62205,236,39,N/A
62206,355,83,N/A
62207,158,58,N/A
62208,273,51,N/A
62220,269,98,N/A
62221,381,78,N/A
62223,252,44,N/A
62226,621,110,N/A
62230,128,8,N/A
62231,295,75,N/A
62232,132,15,N/A
62233,373,93,N/A
62234,421,49,N/A
62236,135,40,N/A
62237,203,6,N/A
62238,32,6,N/A
62239,39,11,N/A
62243,26,6,N/A
62246,158,7,N/A
62249,158,11,N/A
62254,120,28,N/A
62257,60,7,N/A
62258,100,14,N/A
62265,263,29,N/A
62269,384,62,N/A
62272,131,45,N/A
62274,118,10,N/A
62278,125,15,N/A
62285,40,7,N/A
62286,229,30,N/A
62288,164,30,N/A
62293,74,8,N/A
62294,176,17,N/A
62295,18,7,N/A
62298,206,44,N/A
62301,1730,21,N/A
62305,170,15,N/A
62353,276,7,N/A
62428,71,6,N/A
62441,88,6,N/A
62448,272,36,N/A
62454,138,8,N/A
62471,165,17,N/A
62521,841,97,N/A
62522,200,27,N/A
62526,482,35,N/A
62560,48,7,N/A
62565,228,13,N/A
62568,334,26,N/A
62618,501,58,N/A
62629,494,12,N/A
62650,637,27,N/A
62656,626,10,N/A
62664,111,10,N/A
62675,216,6,N/A
